Date,Transaction Description,Debit,Credit,Balance
23/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,5802.90
23/09/23,RIB/MB TRF FROM CA/SA,.0,60.00,5862.90
23/08/23,RIB/MB TRF FROM CA/SA,.0,51.00,5913.90
23/09/23,RIB/MB TRF FROM CA/SA,.00,5100,5964.90
23/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,6064.90
23/09/23,RIB/MB TRF FROM CA/SA,.0,101.00,6166.90
23/09/23,RIB/MB TRF FROM CA/SA Ma,.0,1000.00,7165.90
23/09/23,RIB/MB TRF FROM CA/SA,.0,150.00,7315.90
23/09/23,RIB/MB TRF FROM CA/SA,0,00,100,00,7415,00
23/09/23,RIB,.0,100.00,7515.90
23/09/23,RIB/MB TRF FROM CA/SA,.0,120.00,7635.90
23/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,7735.90
24/09/23,RIB/MB TRF FROM CA/SA,.0,70.00,7805.90
24/09/23,RIB/MB TRF FROM CA/SA,.0,70.00,7875.90
24/09/23,RIB/MB TRF FROM CA/SA D,.0,200.00,8075.90
24/09/23,RIB/MB TRF FROM CA/SA,.0,200.00,8275.90
24/09/23,RIB/MB TRF FROM CA/SA,.0,70.00,8345.90
24/09/23,RiB/MB TRF FROM CA/SA   D,20,.00,8365.90
24/09/23,RIB/NB TRF FROM CA/SA,.00,700,00.90
24/00/23,RIB/VMB TRF FROM CA/SA,.0,70.00,2135.90
24/09/23,RIB/MB TRF FROM CA/SA,.0,70.00,9275.90
24/09/23,RIB/MB TRF FROM CA/SA   N,.0,60.00,9395.90
24/09/23,RIB/NMB TRF FROM CA/SA,.0,60.00,9455.90
24/09/23,RIB/MB TRF FROM CA/SA,.0,150.00,9605.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,31.00,9636.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,51.00,9687.90
25/09/23,RIB/NB TRF FROM CA/SA,.0,1000.00,10067.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,31.00,10718.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,200.00,10918.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,2001.00,12919.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,12969.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,13019.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,1000.00,14019.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,14069.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,14119.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,500.00,14619.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,600.00,15219.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,15269.90
25/09/23,RIB/MB TRF FROM CA/SA,.0,600.00,15869.90
25/09/23,RIB/MB TRF TO CA/SA,50.00,.00,15819.90
25/09/23,RIB/NMB TRF FROM CA/SA,.0,50.00,15869.90
25/09/23,RIB/NB TRF FROM CA/SA,.0,100.00,15969.90
25/09/23,DEBIT ADVICE,9017.00,.00,6952.90
